decision,label,kind,target,factor,overrides,overall_proxy,overall_delta,overall_weighted_error,august_proxy,august_weighted_error,august_bad_day_rate_max,max_month_delta,bad_day_rate_max,affected_validation_rows,affected_submission_dates,month_proxy_deltas,gate_failures,risk_failures
KEEP_CANDIDATE,purchase_day3_x0.94,single_day,purchase,0.94,{},5.942047659372011,0.006182197942862011,0.1420327220723301,6.234262959429708,0.12532596537069346,0.16129032258064516,-0.02802567841924386,0.2032520325203252,4,20140903,"{""2014-05"": 0.0, ""2014-06"": 0.021922814205405317, ""2014-07"": 0.03133941780020155, ""2014-08"": -0.02802567841924386}",,
KEEP_CANDIDATE,purchase_day30_x1.15,single_day,purchase,1.15,{},5.941928136323505,0.006062674894356412,0.14314029166691827,6.32377594697927,0.12264057574420664,0.16129032258064516,-0.031806906023222226,0.2032520325203252,4,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": -0.0058127828104685975, ""2014-07"": 0.0, ""2014-08"": 0.061487309130317414}",,
KEEP_CANDIDATE,purchase_day7_13_x0.98,day_range,purchase,0.98,{},5.9419264864510195,0.00606102502187067,0.14200747670207445,6.256212861056159,0.12486212253094209,0.16129032258064516,-0.016827608230867597,0.2032520325203252,28,"20140907,20140908,20140909,20140910,20140911,20140912,20140913","{""2014-05"": -0.0017197772913011278, ""2014-06"": -0.016827608230867597, ""2014-07"": 0.04812891939428532, ""2014-08"": -0.006075776792792809}",,
KEEP_CANDIDATE,redeem_day25_x0.97,single_day,redeem,0.97,{},5.941922433827479,0.006056972398329918,0.14197835494436986,6.282016605502258,0.12389335598851701,0.16129032258064516,-0.014382609541571334,0.2032520325203252,4,20140925,"{""2014-05"": -0.014382609541571334, ""2014-06"": 0.0, ""2014-07"": 0.01868714527518911, ""2014-08"": 0.019727967653305534}",,
KEEP_CANDIDATE,purchase_weekday0_x1.03,weekday,purchase,1.03,{},5.941919459813034,0.006053998383885428,0.14192707844722094,6.312767720199313,0.12297082254760532,0.16129032258064516,-0.028827515331046882,0.2032520325203252,17,"20140901,20140908,20140915,20140922,20140929","{""2014-05"": 0.010295797208086377, ""2014-06"": -0.00819088299439219, ""2014-07"": -0.028827515331046882, ""2014-08"": 0.05047908235036047}",,
KEEP_CANDIDATE,purchase_day4_7_x0.96,day_range,purchase,0.96,{},5.941866301137109,0.0060008397079602815,0.14208806121059955,6.261915831533908,0.12487775073621063,0.16129032258064516,-0.012425762373992733,0.2032520325203252,16,"20140904,20140905,20140906,20140907","{""2014-05"": -0.012425762373992733, ""2014-06"": -0.008303034338099202, ""2014-07"": 0.04464354656716907, ""2014-08"": -0.0003728063150445493}",,
KEEP_CANDIDATE,purchase_day15_x0.90,single_day,purchase,0.9,{},5.9418561275315716,0.005990666102422715,0.14191539769470926,6.216105162516924,0.12587069927807698,0.16129032258064516,-0.046183475332028046,0.2032520325203252,4,20140915,"{""2014-05"": 0.05650833286514523, ""2014-06"": 0.0577931311299702, ""2014-07"": -0.04248427699444868, ""2014-08"": -0.046183475332028046}",,
KEEP_CANDIDATE,redeem_day19_x0.95,single_day,redeem,0.95,{},5.941817254864961,0.005951793435811759,0.14191656387470752,6.295944093552152,0.12347553134702015,0.16129032258064516,-0.02318532071475765,0.2032520325203252,4,20140919,"{""2014-05"": -0.01940171617245401, ""2014-06"": -0.02318532071475765, ""2014-07"": 0.03179884801917332, ""2014-08"": 0.033655455703200055}",,
KEEP_CANDIDATE,purchase_day7_x0.98,single_day,purchase,0.98,{},5.941741696875172,0.005876235446023337,0.1419188306144012,6.273161046023789,0.12415902277287104,0.16129032258064516,-0.007961753218673984,0.2032520325203252,4,20140907,"{""2014-05"": -0.007961753218673984, ""2014-06"": 0.010242228789954844, ""2014-07"": 0.010492896532942275, ""2014-08"": 0.010872408174837034}",,
KEEP_CANDIDATE,redeem_weekday5_x0.98,weekday,redeem,0.98,{},5.941682473781263,0.0058170123521144035,0.14222580837313675,6.286011319919972,0.12377351455598555,0.16129032258064516,-0.015629256490452548,0.2032520325203252,18,"20140906,20140913,20140920,20140927","{""2014-05"": -0.015629256490452548, ""2014-06"": -0.01193432345213985, ""2014-07"": 0.026536323544414486, ""2014-08"": 0.023722682071019463}",,
KEEP_CANDIDATE,purchase_day3_x0.96,single_day,purchase,0.96,{},5.941648583865641,0.00578312243649215,0.14200367089983176,6.243950753655884,0.12503533154390817,0.16129032258064516,-0.01833788419306792,0.2032520325203252,4,20140903,"{""2014-05"": 0.0, ""2014-06"": 0.021070572841795254, ""2014-07"": 0.020892944658700507, ""2014-08"": -0.01833788419306792}",,
KEEP_CANDIDATE,purchase_day30_x1.18,single_day,purchase,1.18,{},5.941604423819651,0.005738962390502422,0.14344351213361844,6.33607340783618,0.12227165191849931,0.16129032258064516,-0.031806906023222226,0.2032520325203252,4,20140930,"{""2014-05"": -0.031806906023222226, ""2014-06"": -0.019847380295082928, ""2014-07"": 0.0, ""2014-08"": 0.0737847699872276}",,
KEEP_CANDIDATE,purchase_day31_x1.18,single_day,purchase,1.18,{},5.941526913695196,0.0056614522660467514,0.14371394827761724,6.284751819420686,0.12283237007913465,0.16129032258064516,0.0,0.2032520325203252,3,,"{""2014-05"": 0.0, ""2014-06"": 0.0, ""2014-07"": 0.0, ""2014-08"": 0.02246318157173377}",,
KEEP_CANDIDATE,purchase_day28_x0.96,single_day,purchase,0.96,{},5.9414986531195675,0.0056331916904186485,0.14202486735699277,6.243612198127552,0.12504548820975817,0.16129032258064516,-0.018676439721399873,0.2032520325203252,4,20140928,"{""2014-05"": 0.020455660547226806, ""2014-06"": 0.02125755774402993, ""2014-07"": 0.0, ""2014-08"": -0.018676439721399873}",,
KEEP_CANDIDATE,redeem_day25_28_x0.96,day_range,redeem,0.96,{},5.941418124944639,0.00555266351549033,0.14258892065483886,6.243718860300174,0.1254787584505202,0.16129032258064516,-0.023643401070481573,0.21138211382113822,16,"20140925,20140926,20140927,20140928","{""2014-05"": -0.023643401070481573, ""2014-06"": 0.0, ""2014-07"": 0.0642447145032996, ""2014-08"": -0.018569777548778532}",,
KEEP_CANDIDATE,redeem_weekday5_x0.95,weekday,redeem,0.95,{},5.941199981142096,0.00533451971294685,0.14269808475423074,6.295716009499367,0.12348237386860367,0.16129032258064516,-0.049728829664075214,0.2032520325203252,18,"20140906,20140913,20140920,20140927","{""2014-05"": -0.049728829664075214, ""2014-06"": -0.029835804450484282, ""2014-07"": 0.06634081473001618, ""2014-08"": 0.03342737165041498}",,
KEEP_CANDIDATE,redeem_day7_9_x0.98,day_range,redeem,0.98,{},5.941188299181771,0.0053228377526224335,0.14193543254520324,6.2773570024269905,0.12403314408077502,0.16129032258064516,-0.009540121364368659,0.2032520325203252,12,"20140907,20140908,20140909","{""2014-05"": 0.001900671324380987, ""2014-06"": -0.009540121364368659, ""2014-07"": 0.013382986178340772, ""2014-08"": 0.015068364578038285}",,
KEEP_CANDIDATE,redeem_day19_x0.96,single_day,redeem,0.96,{},5.941152580465422,0.0052871190362733245,0.14193650410669373,6.289213002411512,0.12367746408123935,0.16129032258064516,-0.018548257000722046,0.2032520325203252,4,20140919,"{""2014-05"": -0.013435591408424763, ""2014-06"": -0.018548257000722046, ""2014-07"": 0.025439076893707835, ""2014-08"": 0.026924364562559866}",,
KEEP_CANDIDATE,purchase_day26_27_x1.03,day_range,purchase,1.03,{},5.941150326100914,0.005284864671764922,0.14193657173762894,6.284666737919749,0.12381385201599221,0.16129032258064516,-0.031498926277074624,0.2032520325203252,8,"20140926,20140927","{""2014-05"": 0.005083726886889295, ""2014-06"": 0.025839614450936743, ""2014-07"": -0.031498926277074624, ""2014-08"": 0.02237810007079677}",,
